

|yearQuarter |state | totalRX|
|2016 Q2     |ME    |     889|
|2016 Q3     |ME    |     887|
|2016 Q4     |ME    |     891|
|2017 Q1     |ME    |    1036|
|2017 Q2     |ME    |    1000|
|2017 Q3     |ME    |     896|
|2017 Q4     |ME    |     981|
|2018 Q1     |ME    |    1007|
|2018 Q2     |ME    |    1083|
|2018 Q3     |ME    |    1029|
|2018 Q4     |ME    |     996|
|2019 Q1     |ME    |    1161|
|2019 Q2     |ME    |    1513|
|2019 Q3     |ME    |    1550|
|2019 Q4     |ME    |    1591|
|2020 Q1     |ME    |    1573|
|2020 Q2     |ME    |    1236|
|2020 Q3     |ME    |    1427|
|2020 Q4     |ME    |    1356|
|2021 Q1     |ME    |    1414|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MI    |     755|
|2012 Q2     |MI    |    1621|
|2012 Q3     |MI    |    1437|
|2012 Q4     |MI    |    1560|
|2013 Q1     |MI    |    1823|
|2013 Q2     |MI    |    2130|
|2013 Q3     |MI    |    1845|
|2013 Q4     |MI    |    1827|
|2014 Q1     |MI    |    1734|
|2014 Q2     |MI    |    3060|
|2014 Q3     |MI    |    3623|
|2014 Q4     |MI    |    3667|
|2015 Q1     |MI    |    3457|
|2015 Q2     |MI    |    3668|
|2015 Q3     |MI    |    2648|
|2015 Q4     |MI    |    2836|
|2016 Q1     |MI    |    5196|
|2016 Q2     |MI    |    6798|
|2016 Q3     |MI    |    8621|
|2016 Q4     |MI    |    9343|
|2017 Q1     |MI    |   11139|
|2017 Q2     |MI    |   11514|
|2017 Q3     |MI    |   11509|
|2017 Q4     |MI    |   11753|
|2018 Q1     |MI    |   12832|
|2018 Q2     |MI    |   12316|
|2018 Q3     |MI    |   12160|
|2018 Q4     |MI    |   12326|
|2019 Q1     |MI    |   12436|
|2019 Q2     |MI    |   12213|
|2019 Q3     |MI    |   11479|
|2019 Q4     |MI    |   11129|
|2020 Q1     |MI    |   11362|
|2020 Q2     |MI    |    8400|
|2020 Q3     |MI    |    9438|
|2020 Q4     |MI    |   10522|
|2021 Q1     |MI    |    7897|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MN    |    2334|
|2012 Q2     |MN    |    4396|
|2012 Q3     |MN    |    4300|
|2012 Q4     |MN    |    4378|
|2013 Q1     |MN    |    4895|
|2013 Q2     |MN    |    4593|
|2013 Q3     |MN    |    5535|
|2013 Q4     |MN    |    4185|
|2014 Q1     |MN    |    4723|
|2014 Q2     |MN    |    4900|
|2014 Q3     |MN    |    4663|
|2014 Q4     |MN    |    4777|
|2015 Q1     |MN    |    4328|
|2015 Q2     |MN    |    4021|
|2015 Q3     |MN    |    3761|
|2015 Q4     |MN    |    4065|
|2016 Q1     |MN    |    4431|
|2016 Q2     |MN    |    4294|
|2016 Q3     |MN    |    4051|
|2016 Q4     |MN    |    4190|
|2017 Q1     |MN    |    4602|
|2017 Q2     |MN    |    4474|
|2017 Q3     |MN    |    4137|
|2017 Q4     |MN    |    4448|
|2018 Q1     |MN    |    4535|
|2018 Q2     |MN    |    4580|
|2018 Q3     |MN    |    4247|
|2018 Q4     |MN    |    4392|
|2019 Q1     |MN    |    4102|
|2019 Q2     |MN    |    4273|
|2019 Q3     |MN    |    4221|
|2019 Q4     |MN    |    4047|
|2020 Q1     |MN    |    4311|
|2020 Q2     |MN    |    3593|
|2020 Q3     |MN    |    3846|
|2020 Q4     |MN    |    3763|
|2021 Q1     |MN    |    4112|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MO    |     617|
|2012 Q2     |MO    |    1670|
|2012 Q3     |MO    |    1727|
|2012 Q4     |MO    |    1893|
|2013 Q1     |MO    |    1573|
|2013 Q2     |MO    |    1706|
|2013 Q3     |MO    |    1615|
|2013 Q4     |MO    |    1581|
|2014 Q1     |MO    |    1297|
|2014 Q2     |MO    |    1414|
|2014 Q3     |MO    |    1251|
|2014 Q4     |MO    |    1321|
|2015 Q1     |MO    |    1622|
|2015 Q2     |MO    |    1537|
|2015 Q3     |MO    |    1744|
|2015 Q4     |MO    |    1831|
|2016 Q1     |MO    |    2063|
|2016 Q2     |MO    |    1942|
|2016 Q3     |MO    |    2159|
|2016 Q4     |MO    |    2263|
|2017 Q1     |MO    |    2421|
|2017 Q2     |MO    |    2353|
|2017 Q3     |MO    |    2518|
|2017 Q4     |MO    |    2587|
|2018 Q1     |MO    |    2665|
|2018 Q2     |MO    |    2712|
|2018 Q3     |MO    |    2761|
|2018 Q4     |MO    |    2672|
|2019 Q1     |MO    |    2797|
|2019 Q2     |MO    |    2934|
|2019 Q3     |MO    |    3095|
|2019 Q4     |MO    |    2878|
|2020 Q1     |MO    |    2815|
|2020 Q2     |MO    |    2471|
|2020 Q3     |MO    |    3083|
|2020 Q4     |MO    |    3143|
|2021 Q1     |MO    |    3424|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MS    |      77|
|2012 Q2     |MS    |     223|
|2012 Q3     |MS    |     262|
|2012 Q4     |MS    |     300|
|2013 Q1     |MS    |     365|
|2013 Q2     |MS    |     355|
|2013 Q3     |MS    |     362|
|2013 Q4     |MS    |     344|
|2014 Q1     |MS    |     367|
|2014 Q2     |MS    |     346|
|2014 Q3     |MS    |     265|
|2014 Q4     |MS    |     371|
|2015 Q1     |MS    |     345|
|2015 Q2     |MS    |     304|
|2015 Q3     |MS    |     320|
|2015 Q4     |MS    |     303|
|2016 Q1     |MS    |     392|
|2016 Q2     |MS    |     379|
|2016 Q3     |MS    |     375|
|2016 Q4     |MS    |     400|
|2017 Q1     |MS    |     402|
|2017 Q2     |MS    |     465|
|2017 Q3     |MS    |     432|
|2017 Q4     |MS    |     485|
|2018 Q1     |MS    |     513|
|2018 Q2     |MS    |     535|
|2018 Q3     |MS    |     572|
|2018 Q4     |MS    |     477|
|2019 Q1     |MS    |     578|
|2019 Q2     |MS    |     616|
|2019 Q3     |MS    |     674|
|2019 Q4     |MS    |     587|
|2020 Q1     |MS    |     602|
|2020 Q2     |MS    |     405|
|2020 Q3     |MS    |     398|
|2020 Q4     |MS    |     419|
|2021 Q1     |MS    |     419|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MT    |      80|
|2012 Q2     |MT    |     182|
|2012 Q3     |MT    |     141|
|2012 Q4     |MT    |     182|
|2013 Q1     |MT    |     194|
|2013 Q2     |MT    |     193|
|2013 Q3     |MT    |     147|
|2013 Q4     |MT    |     183|
|2014 Q1     |MT    |     192|
|2014 Q2     |MT    |     202|
|2014 Q3     |MT    |     191|
|2014 Q4     |MT    |     179|
|2015 Q1     |MT    |     218|
|2015 Q2     |MT    |     243|
|2015 Q3     |MT    |     189|
|2015 Q4     |MT    |     194|
|2016 Q1     |MT    |     394|
|2016 Q2     |MT    |     656|
|2016 Q3     |MT    |     747|
|2016 Q4     |MT    |     798|
|2017 Q1     |MT    |     992|
|2017 Q2     |MT    |    1088|
|2017 Q3     |MT    |    1076|
|2017 Q4     |MT    |    1144|
|2018 Q1     |MT    |    1105|
|2018 Q2     |MT    |    1302|
|2018 Q3     |MT    |    1131|
|2018 Q4     |MT    |    1369|
|2019 Q1     |MT    |    1281|
|2019 Q2     |MT    |    1309|
|2019 Q3     |MT    |    1307|
|2019 Q4     |MT    |    1252|
|2020 Q1     |MT    |    1246|
|2020 Q2     |MT    |    1014|
|2020 Q3     |MT    |    1011|
|2020 Q4     |MT    |     923|
|2021 Q1     |MT    |    1005|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NC    |     896|
|2012 Q2     |NC    |    2241|
|2012 Q3     |NC    |    2403|
|2012 Q4     |NC    |    2408|
|2013 Q1     |NC    |    2741|
|2013 Q2     |NC    |    2390|
|2013 Q3     |NC    |    2260|
|2013 Q4     |NC    |    2228|
|2014 Q1     |NC    |    2081|
|2014 Q2     |NC    |    2278|
|2014 Q3     |NC    |    2579|
|2014 Q4     |NC    |    2122|
|2015 Q1     |NC    |    2264|
|2015 Q2     |NC    |    1884|
|2015 Q3     |NC    |    2150|
|2015 Q4     |NC    |    2145|
|2016 Q1     |NC    |    2484|
|2016 Q2     |NC    |    2293|
|2016 Q3     |NC    |    2526|
|2016 Q4     |NC    |    2311|
|2017 Q1     |NC    |    3054|
|2017 Q2     |NC    |    2378|
|2017 Q3     |NC    |    2834|
|2017 Q4     |NC    |    2459|
|2018 Q1     |NC    |    3024|
|2018 Q2     |NC    |    2523|
|2018 Q3     |NC    |    2875|
|2018 Q4     |NC    |    2500|
|2019 Q1     |NC    |    2856|
|2019 Q2     |NC    |    2556|
|2019 Q3     |NC    |    3030|
|2019 Q4     |NC    |    2807|
|2020 Q1     |NC    |    1972|
|2020 Q2     |NC    |    1038|
|2020 Q3     |NC    |    4496|
|2020 Q4     |NC    |    2187|
|2021 Q1     |NC    |    2559|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q4     |ND    |      16|
|2013 Q1     |ND    |      25|
|2013 Q2     |ND    |      38|
|2013 Q3     |ND    |      20|
|2013 Q4     |ND    |      19|
|2014 Q1     |ND    |      16|
|2014 Q2     |ND    |      16|
|2014 Q3     |ND    |      50|
|2014 Q4     |ND    |      42|
|2015 Q1     |ND    |     126|
|2015 Q2     |ND    |     171|
|2015 Q3     |ND    |     138|
|2015 Q4     |ND    |     146|
|2016 Q1     |ND    |     146|
|2016 Q2     |ND    |     168|
|2016 Q3     |ND    |     168|
|2016 Q4     |ND    |     215|
|2017 Q1     |ND    |     206|
|2017 Q2     |ND    |     212|
|2017 Q3     |ND    |     192|
|2017 Q4     |ND    |     186|
|2018 Q1     |ND    |     217|
|2018 Q2     |ND    |     227|
|2018 Q3     |ND    |     193|
|2018 Q4     |ND    |     147|
|2019 Q1     |ND    |     234|
|2019 Q2     |ND    |     216|
|2019 Q3     |ND    |     218|
|2019 Q4     |ND    |     195|
|2020 Q1     |ND    |     282|
|2020 Q2     |ND    |     173|
|2020 Q3     |ND    |     187|
|2020 Q4     |ND    |     225|
|2021 Q1     |ND    |     217|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NE    |      48|
|2012 Q2     |NE    |     201|
|2012 Q3     |NE    |     220|
|2012 Q4     |NE    |     207|
|2013 Q1     |NE    |     194|
|2013 Q2     |NE    |     246|
|2013 Q3     |NE    |     262|
|2013 Q4     |NE    |     206|
|2014 Q1     |NE    |     156|
|2014 Q2     |NE    |     160|
|2014 Q3     |NE    |     179|
|2014 Q4     |NE    |     158|
|2015 Q1     |NE    |     165|
|2015 Q2     |NE    |     128|
|2015 Q3     |NE    |     128|
|2015 Q4     |NE    |     140|
|2016 Q1     |NE    |     114|
|2016 Q2     |NE    |     141|
|2016 Q3     |NE    |     149|
|2016 Q4     |NE    |     171|
|2017 Q1     |NE    |     349|
|2017 Q2     |NE    |     133|
|2017 Q3     |NE    |     165|
|2017 Q4     |NE    |     133|
|2018 Q1     |NE    |     184|
|2018 Q2     |NE    |     215|
|2018 Q3     |NE    |      63|
|2018 Q4     |NE    |      50|
|2019 Q1     |NE    |     116|
|2019 Q2     |NE    |     131|
|2019 Q3     |NE    |     150|
|2019 Q4     |NE    |     174|
|2020 Q1     |NE    |     116|
|2020 Q2     |NE    |     120|
|2020 Q3     |NE    |     147|
|2020 Q4     |NE    |     176|
|2021 Q1     |NE    |     131|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NH    |      57|
|2012 Q2     |NH    |     155|
|2012 Q3     |NH    |     202|
|2012 Q4     |NH    |     177|
|2013 Q1     |NH    |     234|
|2013 Q2     |NH    |     216|
|2013 Q3     |NH    |     191|
|2013 Q4     |NH    |     174|
|2014 Q1     |NH    |      12|
|2014 Q4     |NH    |      16|
|2015 Q1     |NH    |      14|
|2015 Q3     |NH    |      24|
|2015 Q4     |NH    |     323|
|2016 Q1     |NH    |     202|
|2016 Q2     |NH    |     197|
|2016 Q3     |NH    |     184|
|2016 Q4     |NH    |     247|
|2017 Q1     |NH    |     247|
|2017 Q2     |NH    |     268|
|2017 Q3     |NH    |     246|
|2017 Q4     |NH    |     291|
|2018 Q1     |NH    |     263|
|2018 Q2     |NH    |     266|
|2018 Q3     |NH    |     218|
|2018 Q4     |NH    |     293|
|2019 Q1     |NH    |     598|
|2019 Q2     |NH    |     604|
|2019 Q3     |NH    |     475|
|2019 Q4     |NH    |     380|
|2020 Q1     |NH    |     609|
|2020 Q2     |NH    |     471|
|2020 Q3     |NH    |     464|
|2020 Q4     |NH    |     480|
|2021 Q1     |NH    |     376|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NJ    |     265|
|2012 Q2     |NJ    |    1402|
|2012 Q3     |NJ    |    1226|
|2012 Q4     |NJ    |    1216|
|2013 Q1     |NJ    |    1357|
|2013 Q2     |NJ    |    1170|
|2013 Q3     |NJ    |    1032|
|2013 Q4     |NJ    |     982|
|2014 Q1     |NJ    |     985|
|2014 Q2     |NJ    |    2248|
|2014 Q3     |NJ    |    1313|
|2014 Q4     |NJ    |    2441|
|2015 Q1     |NJ    |    2720|
|2015 Q2     |NJ    |    1985|
|2015 Q3     |NJ    |    2634|
|2015 Q4     |NJ    |    2108|
|2016 Q1     |NJ    |    2549|
|2016 Q2     |NJ    |    3223|
|2016 Q3     |NJ    |    1735|
|2016 Q4     |NJ    |    2669|
|2017 Q1     |NJ    |    1101|
|2017 Q2     |NJ    |    1137|
|2017 Q3     |NJ    |    1059|
|2017 Q4     |NJ    |    1125|
|2018 Q1     |NJ    |    1209|
|2018 Q2     |NJ    |    1365|
|2018 Q3     |NJ    |    3024|
|2018 Q4     |NJ    |    3636|
|2019 Q1     |NJ    |    4015|
|2019 Q2     |NJ    |    4001|
|2019 Q3     |NJ    |    4040|
|2019 Q4     |NJ    |    3942|
|2020 Q1     |NJ    |    4043|
|2020 Q2     |NJ    |    3292|
|2020 Q3     |NJ    |    3452|
|2020 Q4     |NJ    |    3493|
|2021 Q1     |NJ    |    2305|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NM    |     126|
|2012 Q2     |NM    |     493|
|2012 Q3     |NM    |     400|
|2012 Q4     |NM    |     330|
|2013 Q1     |NM    |     529|
|2013 Q2     |NM    |     405|
|2013 Q3     |NM    |     304|
|2013 Q4     |NM    |     216|
|2014 Q1     |NM    |      38|
|2014 Q2     |NM    |     153|
|2014 Q3     |NM    |    1194|
|2014 Q4     |NM    |     539|
|2015 Q1     |NM    |     555|
|2015 Q2     |NM    |     648|
|2015 Q3     |NM    |     354|
|2015 Q4     |NM    |     571|
|2016 Q2     |NM    |     627|
|2016 Q3     |NM    |     685|
|2016 Q4     |NM    |     728|
|2017 Q1     |NM    |     703|
|2017 Q2     |NM    |     772|
|2017 Q3     |NM    |     729|
|2017 Q4     |NM    |     729|
|2018 Q1     |NM    |     892|
|2018 Q2     |NM    |     845|
|2018 Q3     |NM    |     872|
|2018 Q4     |NM    |     782|
|2019 Q1     |NM    |    1157|
|2019 Q2     |NM    |    1181|
|2019 Q3     |NM    |    1235|
|2019 Q4     |NM    |    1108|
|2020 Q1     |NM    |     334|
|2020 Q2     |NM    |    1061|
|2020 Q3     |NM    |    1033|
|2020 Q4     |NM    |     960|
|2021 Q1     |NM    |     990|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NV    |      93|
|2012 Q2     |NV    |     187|
|2012 Q3     |NV    |     224|
|2012 Q4     |NV    |     228|
|2013 Q1     |NV    |     284|
|2013 Q2     |NV    |     231|
|2013 Q3     |NV    |     251|
|2013 Q4     |NV    |     247|
|2014 Q1     |NV    |     359|
|2014 Q2     |NV    |     455|
|2014 Q3     |NV    |     454|
|2014 Q4     |NV    |     457|
|2015 Q1     |NV    |     454|
|2015 Q2     |NV    |     530|
|2015 Q3     |NV    |     484|
|2015 Q4     |NV    |     521|
|2016 Q1     |NV    |     592|
|2016 Q2     |NV    |     604|
|2016 Q3     |NV    |     590|
|2016 Q4     |NV    |     465|
|2017 Q1     |NV    |     579|
|2017 Q2     |NV    |     457|
|2017 Q3     |NV    |     911|
|2017 Q4     |NV    |    1053|
|2018 Q1     |NV    |    1232|
|2018 Q2     |NV    |    1365|
|2018 Q3     |NV    |    1414|
|2018 Q4     |NV    |    1138|
|2019 Q1     |NV    |    1166|
|2019 Q2     |NV    |    1046|
|2019 Q3     |NV    |    1161|
|2019 Q4     |NV    |    1104|
|2020 Q1     |NV    |    1116|
|2020 Q2     |NV    |    1040|
|2020 Q3     |NV    |    1039|
|2020 Q4     |NV    |     977|
|2021 Q1     |NV    |     964|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |NY    |    4720|
|2012 Q2     |NY    |    8866|
|2012 Q3     |NY    |    8483|
|2012 Q4     |NY    |    8767|
|2013 Q1     |NY    |   11590|
|2013 Q2     |NY    |   10797|
|2013 Q3     |NY    |    9909|
|2013 Q4     |NY    |    9635|
|2014 Q1     |NY    |   10357|
|2014 Q2     |NY    |   12522|
|2014 Q3     |NY    |   12256|
|2014 Q4     |NY    |   11359|
|2015 Q1     |NY    |   12925|
|2015 Q2     |NY    |   13906|
|2015 Q3     |NY    |   11197|
|2015 Q4     |NY    |   11605|
|2016 Q1     |NY    |   15475|
|2016 Q2     |NY    |   15202|
|2016 Q3     |NY    |   13483|
|2016 Q4     |NY    |   14407|
|2017 Q1     |NY    |   15914|
|2017 Q2     |NY    |   16884|
|2017 Q3     |NY    |   16295|
|2017 Q4     |NY    |   16448|
|2018 Q1     |NY    |   18082|
|2018 Q2     |NY    |   18041|
|2018 Q3     |NY    |   17923|
|2018 Q4     |NY    |   17514|
|2019 Q1     |NY    |   18766|
|2019 Q2     |NY    |   18198|
|2019 Q3     |NY    |   17753|
|2019 Q4     |NY    |   17234|
|2020 Q1     |NY    |   17671|
|2020 Q2     |NY    |   14462|
|2020 Q3     |NY    |   15149|
|2020 Q4     |NY    |   15083|
|2021 Q1     |NY    |   14952|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |OH    |    1678|
|2012 Q2     |OH    |    3541|
|2012 Q3     |OH    |    5769|
|2012 Q4     |OH    |    6368|
|2013 Q1     |OH    |    5128|
|2013 Q2     |OH    |    4982|
|2013 Q3     |OH    |    4615|
|2013 Q4     |OH    |    4493|
|2014 Q1     |OH    |    4885|
|2014 Q2     |OH    |    5461|
|2014 Q3     |OH    |    5724|
|2014 Q4     |OH    |    6848|
|2015 Q1     |OH    |    6978|
|2015 Q2     |OH    |    8535|
|2015 Q3     |OH    |    8741|
|2015 Q4     |OH    |    9058|
|2016 Q1     |OH    |   12029|
|2016 Q2     |OH    |   10323|
|2016 Q3     |OH    |   10510|
|2016 Q4     |OH    |   10481|
|2017 Q1     |OH    |   12310|
|2017 Q2     |OH    |   16263|
|2017 Q3     |OH    |   11618|
|2017 Q4     |OH    |   12031|
|2018 Q1     |OH    |   12723|
|2018 Q2     |OH    |   13665|
|2018 Q3     |OH    |   12170|
|2018 Q4     |OH    |   11154|
|2019 Q1     |OH    |   11587|
|2019 Q2     |OH    |   11253|
|2019 Q3     |OH    |   10999|
|2019 Q4     |OH    |   10040|
|2020 Q1     |OH    |   12729|
|2020 Q2     |OH    |   10976|
|2020 Q3     |OH    |   11525|
|2020 Q4     |OH    |   10866|
|2021 Q1     |OH    |    7181|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |OK    |     313|
|2012 Q2     |OK    |     979|
|2012 Q3     |OK    |     886|
|2012 Q4     |OK    |     930|
|2013 Q1     |OK    |    1089|
|2013 Q2     |OK    |     950|
|2013 Q3     |OK    |     822|
|2013 Q4     |OK    |     764|
|2014 Q1     |OK    |     818|
|2014 Q2     |OK    |     845|
|2014 Q3     |OK    |     706|
|2014 Q4     |OK    |     881|
|2015 Q1     |OK    |     757|
|2015 Q2     |OK    |     864|
|2015 Q3     |OK    |     828|
|2015 Q4     |OK    |     729|
|2016 Q1     |OK    |     961|
|2016 Q2     |OK    |     965|
|2016 Q3     |OK    |     991|
|2016 Q4     |OK    |     981|
|2017 Q1     |OK    |    1158|
|2017 Q2     |OK    |    1138|
|2017 Q3     |OK    |    1017|
|2017 Q4     |OK    |    1100|
|2018 Q1     |OK    |    1169|
|2018 Q2     |OK    |    1308|
|2018 Q3     |OK    |    1472|
|2018 Q4     |OK    |    1274|
|2019 Q1     |OK    |    1334|
|2019 Q2     |OK    |    1334|
|2019 Q3     |OK    |    1300|
|2019 Q4     |OK    |    1152|
|2020 Q1     |OK    |    1205|
|2020 Q2     |OK    |    1076|
|2020 Q3     |OK    |    1105|
|2020 Q4     |OK    |     983|
|2021 Q1     |OK    |     976|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |OR    |     784|
|2012 Q2     |OR    |    2159|
|2012 Q3     |OR    |    1671|
|2012 Q4     |OR    |    1073|
|2013 Q1     |OR    |    2441|
|2013 Q2     |OR    |    2815|
|2013 Q3     |OR    |    1692|
|2013 Q4     |OR    |    1533|
|2014 Q1     |OR    |    2557|
|2014 Q2     |OR    |    4062|
|2014 Q3     |OR    |    2998|
|2014 Q4     |OR    |    3260|
|2015 Q1     |OR    |    4003|
|2015 Q2     |OR    |    3906|
|2015 Q3     |OR    |    3536|
|2015 Q4     |OR    |    3589|
|2016 Q1     |OR    |    3830|
|2016 Q2     |OR    |    3878|
|2016 Q3     |OR    |    3424|
|2016 Q4     |OR    |    3856|
|2017 Q1     |OR    |    3985|
|2017 Q2     |OR    |    6024|
|2017 Q3     |OR    |    3957|
|2017 Q4     |OR    |    4107|
|2018 Q1     |OR    |    4550|
|2018 Q2     |OR    |    4405|
|2018 Q3     |OR    |    4278|
|2018 Q4     |OR    |    4379|
|2019 Q1     |OR    |    4828|
|2019 Q2     |OR    |    4985|
|2019 Q3     |OR    |    4871|
|2019 Q4     |OR    |    4695|
|2020 Q1     |OR    |    5239|
|2020 Q2     |OR    |    4226|
|2020 Q3     |OR    |    4215|
|2020 Q4     |OR    |    4560|
|2021 Q1     |OR    |    4653|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |PA    |     716|
|2012 Q2     |PA    |    1368|
|2012 Q3     |PA    |    1505|
|2012 Q4     |PA    |    1459|
|2013 Q1     |PA    |    1601|
|2013 Q2     |PA    |    1787|
|2013 Q3     |PA    |    2126|
|2013 Q4     |PA    |    2034|
|2014 Q1     |PA    |    1652|
|2014 Q2     |PA    |    1895|
|2014 Q3     |PA    |    1787|
|2014 Q4     |PA    |    1998|
|2015 Q1     |PA    |    1894|
|2015 Q2     |PA    |    2431|
|2015 Q3     |PA    |    2887|
|2015 Q4     |PA    |    3901|
|2016 Q1     |PA    |    3831|
|2016 Q2     |PA    |    4213|
|2016 Q3     |PA    |    4578|
|2016 Q4     |PA    |    5066|
|2017 Q1     |PA    |    5252|
|2017 Q2     |PA    |    7818|
|2017 Q3     |PA    |    5710|
|2017 Q4     |PA    |    6101|
|2018 Q1     |PA    |    6710|
|2018 Q2     |PA    |    7818|
|2018 Q3     |PA    |    8312|
|2018 Q4     |PA    |    7942|
|2019 Q1     |PA    |    8327|
|2019 Q2     |PA    |    8443|
|2019 Q3     |PA    |    8428|
|2019 Q4     |PA    |    8370|
|2020 Q1     |PA    |   10363|
|2020 Q2     |PA    |    8861|
|2020 Q3     |PA    |    9690|
|2020 Q4     |PA    |    9668|
|2021 Q1     |PA    |    6190|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2014 Q1     |RI    |      26|
|2014 Q2     |RI    |      26|
|2014 Q4     |RI    |      13|
|2015 Q3     |RI    |      12|
|2016 Q1     |RI    |     219|
|2016 Q2     |RI    |     279|
|2016 Q3     |RI    |     261|
|2016 Q4     |RI    |     205|
|2017 Q1     |RI    |     213|
|2017 Q2     |RI    |     270|
|2017 Q3     |RI    |     425|
|2017 Q4     |RI    |     331|
|2018 Q1     |RI    |     511|
|2018 Q2     |RI    |     482|
|2018 Q3     |RI    |     483|
|2018 Q4     |RI    |     500|
|2019 Q1     |RI    |     613|
|2019 Q2     |RI    |     673|
|2019 Q3     |RI    |     594|
|2019 Q4     |RI    |     612|
|2020 Q1     |RI    |     629|
|2020 Q2     |RI    |     607|
|2020 Q3     |RI    |     613|
|2020 Q4     |RI    |     631|
|2021 Q1     |RI    |     674|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |SC    |     121|
|2012 Q2     |SC    |     416|
|2012 Q3     |SC    |     412|
|2012 Q4     |SC    |     527|
|2013 Q1     |SC    |     500|
|2013 Q2     |SC    |     481|
|2013 Q3     |SC    |     438|
|2013 Q4     |SC    |     485|
|2014 Q1     |SC    |     463|
|2014 Q2     |SC    |     524|
|2014 Q3     |SC    |     378|
|2014 Q4     |SC    |     509|
|2015 Q1     |SC    |     446|
|2015 Q2     |SC    |     390|
|2015 Q3     |SC    |     324|
|2015 Q4     |SC    |     395|
|2016 Q1     |SC    |     395|
|2016 Q2     |SC    |     492|
|2016 Q3     |SC    |     467|
|2016 Q4     |SC    |     464|
|2017 Q1     |SC    |     621|
|2017 Q2     |SC    |     595|
|2017 Q3     |SC    |    1080|
|2017 Q4     |SC    |    1077|
|2018 Q1     |SC    |    1103|
|2018 Q2     |SC    |    1325|
|2018 Q3     |SC    |    1294|
|2018 Q4     |SC    |    1320|
|2019 Q1     |SC    |    1449|
|2019 Q2     |SC    |    1487|
|2019 Q3     |SC    |    1427|
|2019 Q4     |SC    |    1606|
|2020 Q1     |SC    |    1664|
|2020 Q2     |SC    |    1279|
|2020 Q3     |SC    |    1387|
|2020 Q4     |SC    |    1220|
|2021 Q1     |SC    |     900|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |SD    |      20|
|2012 Q2     |SD    |      45|
|2012 Q3     |SD    |      68|
|2012 Q4     |SD    |      62|
|2013 Q1     |SD    |      61|
|2013 Q2     |SD    |      38|
|2013 Q3     |SD    |      64|
|2013 Q4     |SD    |      79|
|2014 Q1     |SD    |      48|
|2014 Q2     |SD    |      62|
|2014 Q3     |SD    |      53|
|2014 Q4     |SD    |      49|
|2015 Q1     |SD    |      50|
|2015 Q2     |SD    |      45|
|2015 Q3     |SD    |      65|
|2015 Q4     |SD    |      73|
|2016 Q1     |SD    |      63|
|2016 Q2     |SD    |      76|
|2016 Q3     |SD    |      74|
|2016 Q4     |SD    |      70|
|2017 Q1     |SD    |     120|
|2017 Q2     |SD    |      60|
|2017 Q3     |SD    |      77|
|2017 Q4     |SD    |     103|
|2018 Q1     |SD    |      89|
|2018 Q2     |SD    |     103|
|2018 Q3     |SD    |     125|
|2018 Q4     |SD    |     131|
|2019 Q1     |SD    |     135|
|2019 Q2     |SD    |     120|
|2019 Q3     |SD    |     114|
|2019 Q4     |SD    |     105|
|2020 Q1     |SD    |     113|
|2020 Q2     |SD    |      88|
|2020 Q3     |SD    |      98|
|2020 Q4     |SD    |     103|
|2021 Q1     |SD    |     117|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |TN    |     311|
|2012 Q2     |TN    |    1141|
|2012 Q3     |TN    |    1529|
|2012 Q4     |TN    |    1530|
|2013 Q1     |TN    |    1664|
|2013 Q2     |TN    |    1567|
|2013 Q3     |TN    |    1382|
|2013 Q4     |TN    |    1495|
|2014 Q1     |TN    |    1600|
|2014 Q2     |TN    |    1607|
|2014 Q3     |TN    |    1509|
|2014 Q4     |TN    |    1416|
|2015 Q1     |TN    |    1456|
|2015 Q2     |TN    |    1555|
|2015 Q3     |TN    |    1447|
