state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
South Carolina,1219575,"","","",2017,7,2015,6,"South Carolina
(33.878572, -80.864614)",""
Puerto Rico,1245787,379369,"",379369,2018,8,2017,3,"Puerto Rico
(18.215692, -66.414655)",""
North Carolina,2091145,"","","",2018,8,2017,2,"North Carolina
(35.52603, -79.130883)",""
Mississippi,690180,"","","",2019,12,2018,4,"Mississippi
(32.713378, -89.65344)",""
Missouri,975580,"","","",2017,9,2016,5,"Missouri
(38.3675, -92.477244)",""
Minnesota,1246032,222897,222303,594,2017,9,2016,1,"Minnesota
(46.349153, -94.198308)",""
Puerto Rico,1329677,570717,"",570717,2016,12,2014,3,"Puerto Rico
(18.215692, -66.414655)",""
California,11934494,3798240,3798240,0,2018,8,2017,1,"California
(37.211164, -119.662127)",""
American Samoa,36726,"","","",2016,12,2014,12,"",""
Delaware,206571,59308,9895,49413,2017,7,2015,1,"Delaware
(38.994926, -75.452394)",""
Georgia,1867314,"","","",2017,7,2015,11,"Georgia
(32.638481, -83.426574)",""
Iowa,599175,150047,138944,11103,2018,8,2016,10,"Iowa
(42.074659, -93.500061)",""
Rhode Island,256150,42271,42271,0,2016,12,2014,4,"Rhode Island
(41.572574, -71.534637)",""
Arizona,1577367,259147,36443,222704,2016,12,2014,5,"Arizona
(34.293239, -111.664616)",""
Arkansas,940798,321675,314080,7595,2018,8,2017,4,"Arkansas
(34.899825, -92.439162)",""
Arizona,1936160,430958,113019,317939,2019,12,2017,11,"Arizona
(34.293239, -111.664616)",""
American Samoa,36726,"","","",2017,7,2015,7,"",""
West Virginia,542038,168039,168039,0,2019,12,2018,2,"West Virginia
(38.642579, -80.613729)",""
Alaska,154297,19265,19265,"",2017,9,2016,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Dist. Of Col.,263058,112725,70903,41822,2019,12,2017,11,"",""
Ohio,3051717,682266,644977,37289,2018,8,2017,8,"Ohio
(40.415534, -82.70936)",""
N. Mariana Islands,15472,"","","",2018,8,2017,6,"",""
Kansas,378765,"","","",2018,8,2017,7,"Kansas
(38.484729, -98.38018)",""
Wyoming,59007,"","","",2019,12,2018,4,"Wyoming
(42.999627, -107.55145)",""
Ohio,3069539,716751,653890,62861,2018,8,2017,1,"Ohio
(40.415534, -82.70936)",""
N. Mariana Islands,1492,"","","",2019,12,2018,1,"",""
Kentucky,1306031,458385,458385,"",2017,9,2016,8,"Kentucky
(37.526683, -85.290484)",""
Maryland,1220041,309040,309040,0,2019,12,2017,11,"Maryland
(38.946466, -76.687282)",""
Delaware,203024,59474,10523,48951,2017,9,2016,5,"Delaware
(38.994926, -75.452394)",""
West Virginia,544129,165706,165706,0,2017,7,2015,6,"West Virginia
(38.642579, -80.613729)",""
South Carolina,1213907,"","","",2018,8,2017,9,"South Carolina
(33.878572, -80.864614)",""
Dist. Of Col.,260422,109689,69206,40483,2019,12,2018,5,"",""
New York,6126936,1915571,295393,1620178,2019,12,2017,10,"New York
(42.921241, -75.59655)",""
Mississippi,726638,"","","",2017,9,2016,1,"Mississippi
(32.713378, -89.65344)",""
American Samoa,40517,"","","",2017,9,2016,1,"",""
Oklahoma,732897,"","","",2016,12,2014,6,"Oklahoma
(35.583449, -97.508297)",""
Indiana,1350223,314421,314421,0,2019,12,2018,4,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Oregon,1103589,556715,481309,75406,2017,9,2016,4,"Oregon
(43.940449, -120.605279)",""
Alaska,175135,29710,29595,115,2018,8,2016,11,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Montana,239770,80228,80228,0,2018,8,2017,4,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,17000,"","","",2017,7,2015,2,"",""
Hawaii,306632,98417,33854,64563,2017,7,2015,7,"Hawaii
(21.361013, -157.854309)",""
Montana,250605,91498,91498,0,2019,12,2017,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Kansas,390596,"","","",2017,9,2016,4,"Kansas
(38.484729, -98.38018)",""
Virgin Islands,23492,9363,"",9363,2019,12,2017,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Georgia,1830873,"","","",2018,8,2016,12,"Georgia
(32.638481, -83.426574)",""
Colorado,889665,155871,154690,1181,2016,12,2014,1,"Colorado
(38.998552, -105.547832)",""
Idaho,309183,"","","",2017,9,2016,7,"Idaho
(44.389073, -114.659366)",""
Maine,278348,"","","",2017,7,2015,4,"Maine
(45.117911, -69.06137)",""
Minnesota,1084832,201427,200712,715,2019,12,2018,6,"Minnesota
(46.349153, -94.198308)",""
Colorado,1272951,384925,383039,1886,2017,7,2015,10,"Colorado
(38.998552, -105.547832)",""
Oklahoma,756287,"","","",2016,12,2014,8,"Oklahoma
(35.583449, -97.508297)",""
North Carolina,1837398,"","","",2016,12,2014,3,"North Carolina
(35.52603, -79.130883)",""
Virginia,1011555,"","","",2018,8,2017,1,"Virginia
(37.510861, -78.666382)",""
Virginia,1023532,"","","",2018,8,2017,5,"Virginia
(37.510861, -78.666382)",""
New Mexico,679663,138893,138893,0,2016,12,2014,5,"New Mexico
(34.421369, -106.108388)",""
American Samoa,40517,"","","",2017,9,2016,4,"",""
Utah,307856,"","","",2018,8,2017,2,"Utah
(39.323779, -111.678222)",""
Arkansas,929130,300840,300546,294,2019,12,2018,2,"Arkansas
(34.899825, -92.439162)",""
New Jersey,1706670,565503,565503,0,2017,7,2015,9,"New Jersey
(40.110253, -74.655514)",Awaiting state reporting/enrollment reasonableness review in progress
Oregon,985516,433330,349843,83487,2016,12,2014,7,"Oregon
(43.940449, -120.605279)",""
Delaware,209358,58999,9312,49687,2017,7,2015,11,"Delaware
(38.994926, -75.452394)",""
Mississippi,745775,"","","",2017,7,2015,4,"Mississippi
(32.713378, -89.65344)",""
Wisconsin,1200598,"","","",2016,12,2014,8,"Wisconsin
(44.639954, -89.732969)",""
Oregon,1006433,466739,407990,58749,2016,12,2014,12,"Oregon
(43.940449, -120.605279)",""
Florida,3934638,"","","",2016,12,2014,9,"Florida
(28.260731, -82.420978)",""
Kansas,378916,"","","",2018,8,2017,6,"Kansas
(38.484729, -98.38018)",""
Michigan,2346096,650368,603811,46557,2018,8,2016,11,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Colorado,1338692,450850,448590,2260,2017,9,2016,8,"Colorado
(38.998552, -105.547832)",""
Guam,35203,3869,"",3869,2019,12,2018,3,"Guam
(13.3532, 144.653198)",""
Illinois,2950901,686627,657551,29076,2017,9,2016,3,"Illinois
(40.124144, -89.148632)",""
Wisconsin,1181362,"","","",2016,12,2014,11,"Wisconsin
(44.639954, -89.732969)",""
Minnesota,1140230,186630,185707,923,2017,9,2016,6,"Minnesota
(46.349153, -94.198308)",""
New York,5766712,983429,103253,880176,2016,12,2014,5,"New York
(42.921241, -75.59655)",""
Nebraska,233803,"","","",2016,12,2014,12,"Nebraska
(41.527099, -99.810595)",""
Massachusetts,1766643,299557,0,299557,2016,12,2014,4,"Massachusetts
(42.151077, -71.481104)",""
Totals,74084538,10346257,7735723,2610534,2016,12,2014,11,"",""
Hawaii,323301,111557,32621,78936,2017,9,2016,2,"Hawaii
(21.361013, -157.854309)",""
Oregon,1083511,526306,460709,65597,2017,7,2015,7,"Oregon
(43.940449, -120.605279)",""
Wisconsin,1205893,"","","",2017,7,2015,4,"Wisconsin
(44.639954, -89.732969)",""
Puerto Rico,1108446,395497,"",395497,2017,7,2015,9,"Puerto Rico
(18.215692, -66.414655)",""
Washington,1811835,592910,577915,14995,2017,9,2016,3,"Washington
(47.411715, -120.592492)",""
California,13029364,3625526,3625526,0,2017,9,2016,3,"California
(37.211164, -119.662127)",Awaiting state reporting/enrollment reasonableness review in progress
Utah,313500,"","","",2016,12,2014,1,"Utah
(39.323779, -111.678222)",""
Arkansas,935981,320669,312833,7836,2018,8,2017,3,"Arkansas
(34.899825, -92.439162)",""
Montana,208391,53334,53334,"",2017,9,2016,6,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Kentucky,1328039,467275,467275,0,2019,12,2018,6,"Kentucky
(37.526683, -85.290484)",""
Alabama,1050989,"","","",2017,7,2015,7,"Alabama
(32.756889, -86.844516)",""
Wisconsin,1193804,"","","",2017,9,2016,8,"Wisconsin
(44.639954, -89.732969)",""
Idaho,304470,"","","",2017,9,2016,2,"Idaho
(44.389073, -114.659366)",""
Vermont,202600,63178,"",63178,2017,9,2016,6,"Vermont
(44.075252, -72.662695)",""
Wisconsin,1197358,"","","",2017,9,2016,5,"Wisconsin
(44.639954, -89.732969)",""
New Mexico,712716,157466,157466,0,2016,12,2014,7,"New Mexico
(34.421369, -106.108388)",""
Ohio,2790025,391883,362061,29822,2016,12,2014,7,"Ohio
(40.415534, -82.70936)",""
New York,2082549,791665,28324,763341,2016,12,2014,1,"New York
(42.921241, -75.59655)",""
Pennsylvania,2767234,728144,684877,43267,2017,9,2016,6,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Indiana,1217064,307714,178357,129357,2017,7,2015,8,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Arkansas,936199,305607,305284,323,2019,12,2017,10,"Arkansas
(34.899825, -92.439162)",""
Puerto Rico,1247119,376428,"",376428,2019,12,2017,12,"Puerto Rico
(18.215692, -66.414655)",""
South Dakota,108070,"","","",2017,9,2016,7,"South Dakota
(44.43614, -100.230491)",""
District of Columbia,242684,107465,66553,40912,2017,7,2015,11,"District of Columbia
(38.904785, -77.016275)",""
Virginia,919811,"","","",2016,12,2014,10,"Virginia
(37.510861, -78.666382)",""
Alaska,198535,44653,44628,25,2019,12,2018,5,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Delaware,203393,60366,11199,49167,2018,8,2016,12,"Delaware
(38.994926, -75.452394)",""
Iowa,550876,116331,108108,8223,2016,12,2014,10,"Iowa
(42.074659, -93.500061)",""
Missouri,780053,"","","",2016,12,2014,3,"Missouri
(38.3675, -92.477244)",""
West Virginia,542281,169044,169044,0,2019,12,2018,1,"West Virginia
(38.642579, -80.613729)",""
Iowa,499120,61768,60589,1179,2016,12,2014,1,"Iowa
(42.074659, -93.500061)",""
Virginia,1059761,"","","",2019,12,2018,4,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Illinois,2911802,678900,646321,32579,2017,9,2016,7,"Illinois
(40.124144, -89.148632)",""
Oregon,1001224,485737,408395,77342,2017,9,2016,9,"Oregon
(43.940449, -120.605279)",""
Hawaii,278592,74781,35993,38788,2016,12,2014,9,"Hawaii
(21.361013, -157.854309)",""
Virgin Islands,23294,4010,"",4010,2018,8,2017,3,"Virgin Islands
(18.060868, -64.840836)","Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Michigan,2304433,593408,557097,36311,2017,7,2015,9,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Alaska,173746,30038,29915,123,2018,8,2016,12,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Indiana,1073787,148262,53862,94400,2017,7,2015,2,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
California,11703887,3799896,3799896,0,2018,8,2017,5,"California
(37.211164, -119.662127)",""
Oklahoma,744445,"","","",2017,7,2015,1,"Oklahoma
(35.583449, -97.508297)",""
Arizona,1939912,430795,112408,318387,2018,8,2017,7,"Arizona
(34.293239, -111.664616)",""
New Hampshire,189480,55881,55590,291,2019,12,2018,4,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Idaho,302043,"","","",2017,7,2015,11,"Idaho
(44.389073, -114.659366)",""
New Jersey,1717039,578949,578949,0,2018,8,2017,2,"New Jersey
(40.110253, -74.655514)",""
Missouri,978261,"","","",2018,8,2017,7,"Missouri
(38.3675, -92.477244)",""
Nevada,597429,203163,203163,"",2017,9,2016,9,"Nevada
(39.283294, -114.916992)",""
South Carolina,1259031,"","","",2019,12,2017,12,"South Carolina
(33.878572, -80.864614)",""
Oregon,1003425,443512,360422,83090,2016,12,2014,9,"Oregon
(43.940449, -120.605279)",""
Vermont,206350,60848,0,60848,2017,7,2015,10,"Vermont
(44.075252, -72.662695)",""
Utah,327322,"","","",2017,7,2015,3,"Utah
(39.323779, -111.678222)",""
Georgia,1869933,"","","",2017,7,2015,12,"Georgia
(32.638481, -83.426574)",""
Iowa,590334,150346,138607,11739,2018,8,2017,8,"Iowa
(42.074659, -93.500061)",""
Delaware,211123,62358,10426,51932,2019,12,2017,11,"Delaware
(38.994926, -75.452394)",""
Alabama,1019760,"","","",2018,8,2017,3,"Alabama
(32.756889, -86.844516)",""
Tennessee,1647181,"","","",2017,7,2015,11,"Tennessee
(35.842998, -86.343226)",""
Michigan,2192397,528416,493138,35278,2017,7,2015,1,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Illinois,2900838,679268,644632,34636,2018,8,2016,10,"Illinois
(40.124144, -89.148632)",""
Montana,224263,65236,65236,0,2018,8,2016,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nevada,592480,211736,211736,0,2018,8,2017,8,"Nevada
(39.283294, -114.916992)",""
Louisiana,1547806,288584,288584,"",2017,9,2016,7,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1813800,592114,577422,14692,2017,7,2015,12,"Washington
(47.411715, -120.592492)",""
Tennessee,1541027,"","","",2017,7,2015,2,"Tennessee
(35.842998, -86.343226)",""
South Dakota,109596,"","","",2017,7,2015,5,"South Dakota
(44.43614, -100.230491)",""
South Dakota,108193,"","","",2017,9,2016,5,"South Dakota
(44.43614, -100.230491)",""
Iowa,591614,150585,138657,11928,2019,12,2017,10,"Iowa
(42.074659, -93.500061)",""
Texas,4274020,"","","",2019,12,2018,4,"Texas
(31.447238, -99.317341)",""
Vermont,201355,57492,0,57492,2017,7,2015,5,"Vermont
(44.075252, -72.662695)",""
Kentucky,1256961,416131,416131,"",2017,7,2015,7,"Kentucky
(37.526683, -85.290484)",""
Oklahoma,679451,"","","",2018,8,2016,11,"Oklahoma
(35.583449, -97.508297)",""
Oregon,953677,451266,380076,71190,2019,12,2018,3,"Oregon
(43.940449, -120.605279)",""
North Carolina,1865032,"","","",2016,12,2014,6,"North Carolina
(35.52603, -79.130883)",""
Louisiana,1621257,376668,376668,0,2018,8,2016,12,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Delaware,201892,56241,9203,47038,2016,12,2014,10,"Delaware
(38.994926, -75.452394)",""
Indiana,1244321,361687,222364,139323,2017,7,2015,12,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Kentucky,1060566,247899,247899,0,2016,12,2014,3,"Kentucky
(37.526683, -85.290484)",""
Arizona,1948232,432082,111960,320122,2018,8,2017,2,"Arizona
(34.293239, -111.664616)",""
Texas,4320074,"","","",2017,9,2016,3,"Texas
(31.447238, -99.317341)",""
Nevada,571184,189623,189623,0,2017,7,2015,10,"Nevada
(39.283294, -114.916992)",""
Wyoming,68680,"","","",2017,7,2015,5,"Wyoming
(42.999627, -107.55145)",""
Washington,1834491,609257,595392,13865,2018,8,2017,6,"Washington
(47.411715, -120.592492)",""
Ohio,3161019,706117,648400,57717,2017,9,2016,2,"Ohio
(40.415534, -82.70936)",""
Tennessee,1504276,"","","",2016,12,2014,12,"Tennessee
(35.842998, -86.343226)",""
Pennsylvania,2716032,784649,744117,40532,2019,12,2017,10,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virgin Islands,15254,"","","",2017,7,2015,3,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Florida,3861446,"","","",2016,12,2014,4,"Florida
(28.260731, -82.420978)",""
Maine,275128,"","","",2017,7,2015,8,"Maine
(45.117911, -69.06137)",""
New Jersey,1586539,486894,486894,0,2016,12,2014,8,"New Jersey
(40.110253, -74.655514)",""
Maine,275524,"","","",2017,7,2015,9,"Maine
(45.117911, -69.06137)",""
District of Columbia,240034,117439,75188,42251,2017,9,2016,7,"District of Columbia
(38.904785, -77.016275)",""
South Carolina,1205228,"","","",2017,7,2015,4,"South Carolina
(33.878572, -80.864614)",""
Wisconsin,1199028,"","","",2016,12,2014,4,"Wisconsin
(44.639954, -89.732969)",""
North Dakota,93599,21006,20005,1001,2017,9,2016,9,"North Dakota
(47.446305, -100.46931)",Awaiting state reporting/enrollment reasonableness review in progress
Pennsylvania,2853193,800902,758244,42658,2018,8,2017,3,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Connecticut,889083,228247,199598,28649,2018,8,2017,6,"Connecticut
(41.575155, -72.738288)",""
Guam,35521,2935,"",2935,2017,7,2015,6,"Guam
(13.3532, 144.653198)",""
Delaware,211120,62628,10459,52169,2019,12,2017,12,"Delaware
(38.994926, -75.452394)",""
Maine,256936,0,0,0,2019,12,2018,5,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Colorado,1343704,452872,450632,2240,2018,8,2016,12,"Colorado
(38.998552, -105.547832)",""
Nevada,589663,211060,211060,0,2018,8,2017,7,"Nevada
(39.283294, -114.916992)",""
New Mexico,884014,256397,256397,0,2018,8,2016,10,"New Mexico
(34.421369, -106.108388)",""
West Virginia,552013,173290,173290,0,2018,8,2017,8,"West Virginia
(38.642579, -80.613729)",""
New Jersey,1703212,559321,559321,0,2017,7,2015,10,"New Jersey
(40.110253, -74.655514)",""
Georgia,1871484,"","","",2017,7,2015,8,"Georgia
(32.638481, -83.426574)",""
Colorado,1303683,410736,408472,2264,2019,12,2018,1,"Colorado
(38.998552, -105.547832)",""
Colorado,1361174,453352,451018,2334,2018,8,2017,9,"Colorado
(38.998552, -105.547832)",""
New York,6128726,1888489,273652,1614837,2017,9,2016,8,"New York
(42.921241, -75.59655)",""
Idaho,270679,"","","",2016,12,2014,1,"Idaho
(44.389073, -114.659366)",""
Alabama,1020672,"","","",2019,12,2018,5,"Alabama
(32.756889, -86.844516)",""
Washington,1844804,615318,601289,14029,2018,8,2017,4,"Washington
(47.411715, -120.592492)",""
Oklahoma,669196,"","","",2017,9,2016,1,"Oklahoma
(35.583449, -97.508297)",""
Idaho,306008,"","","",2017,9,2016,4,"Idaho
(44.389073, -114.659366)",""
Delaware,208500,60548,10062,50486,2017,7,2015,2,"Delaware
(38.994926, -75.452394)",""
Utah,336329,"","","",2017,9,2016,2,"Utah
(39.323779, -111.678222)",""
Indiana,1077856,"","","",2017,7,2015,1,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Hawaii,330503,116154,21834,94320,2018,8,2016,12,"Hawaii
(21.361013, -157.854309)",""
Mississippi,746151,"","","",2017,7,2015,3,"Mississippi
(32.713378, -89.65344)",""
South Dakota,107565,"","","",2016,12,2014,8,"South Dakota
(44.43614, -100.230491)",""
Alaska,107200,"","","",2016,12,2014,1,"Alaska
(63.631126, -151.631889)",""
Virginia,981581,"","","",2017,7,2015,6,"Virginia
(37.510861, -78.666382)",""
Virgin Islands,16860,"","","",2017,7,2015,4,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Maine,275226,"","","",2017,7,2015,7,"Maine
(45.117911, -69.06137)",""
Arizona,1605491,270591,37370,233221,2016,12,2014,6,"Arizona
(34.293239, -111.664616)",""
Alabama,1041933,"","","",2017,9,2016,5,"Alabama
(32.756889, -86.844516)",""
New York,6071555,1836637,277769,1558868,2018,8,2016,12,"New York
(42.921241, -75.59655)",""
Washington,1830365,603871,589390,14481,2018,8,2016,10,"Washington
(47.411715, -120.592492)",""
N. Mariana Islands,17000,"","","",2017,9,2016,5,"",""
Arizona,1884735,422256,111713,310543,2017,9,2016,5,"Arizona
(34.293239, -111.664616)",""
Texas,4359534,"","","",2018,8,2016,10,"Texas
(31.447238, -99.317341)",""
Nebraska,247459,"","","",2019,12,2018,3,"Nebraska
(41.527099, -99.810595)",""
South Dakota,108416,"","","",2017,7,2015,12,"South Dakota
(44.43614, -100.230491)",""
Kansas,394791,"","","",2017,9,2016,5,"Kansas
(38.484729, -98.38018)",""
Illinois,2967087,687673,660610,27063,2017,9,2016,1,"Illinois
(40.124144, -89.148632)",""
California,14077741,2017684,2017684,0,2016,12,2014,6,"California
(37.211164, -119.662127)",""
Massachusetts,1813220,378023,0,378023,2018,8,2017,1,"Massachusetts
(42.151077, -71.481104)",""
Indiana,1314616,402951,246273,156678,2017,9,2016,7,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
South Dakota,109092,"","","",2017,9,2016,2,"South Dakota
(44.43614, -100.230491)",""
Guam,36739,3083,"",3083,2016,12,2014,6,"Guam
(13.3532, 144.653198)",""
Kansas,381354,"","","",2018,8,2017,3,"Kansas
(38.484729, -98.38018)",""
Utah,325161,"","","",2016,12,2014,10,"Utah
(39.323779, -111.678222)",""
Louisiana,1444601,"","","",2017,7,2015,12,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maryland,1216695,306660,306660,0,2018,8,2017,9,"Maryland
(38.946466, -76.687282)",""
California,11371571,3804208,3804208,0,2018,8,2017,7,"California
(37.211164, -119.662127)",""
Pennsylvania,2845658,791979,748891,43088,2018,8,2017,1,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nebraska,246679,"","","",2019,12,2018,2,"Nebraska
(41.527099, -99.810595)",""
Utah,337586,"","","",2017,9,2016,3,"Utah
(39.323779, -111.678222)",""
Wyoming,61282,"","","",2018,8,2016,11,"Wyoming
(42.999627, -107.55145)",""
Hawaii,331067,120890,22889,98001,2019,12,2018,2,"Hawaii
(21.361013, -157.854309)",""
Missouri,794421,"","","",2016,12,2014,8,"Missouri
(38.3675, -92.477244)",""
District of Columbia,235418,118582,75422,43160,2017,9,2016,8,"District of Columbia
(38.904785, -77.016275)",""
New York,6092512,1961526,282749,1678777,2018,8,2017,2,"New York
(42.921241, -75.59655)",""
Vermont,187050,37432,0,37432,2016,12,2014,1,"Vermont
(44.075252, -72.662695)",""
North Dakota *,93661,20987,19967,1020,2018,8,2016,10,"North Dakota *
(47.446305, -100.46931)",Awaiting state reporting/enrollment reasonableness review in progress
Oklahoma,664976,"","","",2017,9,2016,3,"Oklahoma
(35.583449, -97.508297)",""
Connecticut,826813,195437,180766,14671,2017,7,2015,11,"Connecticut
(41.575155, -72.738288)",""
Nebraska,235898,"","","",2017,9,2016,6,"Nebraska
(41.527099, -99.810595)",""
Montana,242921,85212,85212,0,2018,8,2017,9,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Georgia,1868445,"","","",2018,8,2017,7,"Georgia
(32.638481, -83.426574)",""
Florida,4016200,"","","",2017,7,2015,10,"Florida
(28.260731, -82.420978)",""
Maryland,1126993,258610,258610,"",2017,9,2016,5,"Maryland
(38.946466, -76.687282)",""
North Dakota,92586,21175,20204,971,2017,9,2016,3,"North Dakota
(47.446305, -100.46931)",Awaiting state reporting/enrollment reasonableness review in progress
Oklahoma,757290,"","","",2016,12,2014,1,"Oklahoma
(35.583449, -97.508297)",""
Utah,327471,"","","",2017,7,2015,11,"Utah
(39.323779, -111.678222)",""
Kansas,370031,"","","",2019,12,2018,3,"Kansas
(38.484729, -98.38018)",""
Arizona,1936255,424130,109358,314772,2018,8,2016,10,"Arizona
(34.293239, -111.664616)",""
Texas,4330326,"","","",2016,12,2014,12,"Texas
(31.447238, -99.317341)",""
Kansas,364986,"","","",2019,12,2018,5,"Kansas
(38.484729, -98.38018)",""
Puerto Rico,1228611,481726,"",481726,2016,12,2014,5,"Puerto Rico
(18.215692, -66.414655)",""
Texas,4338627,"","","",2019,12,2017,11,"Texas
(31.447238, -99.317341)",""
Delaware,196529,57449,7570,49879,2016,12,2014,7,"Delaware
(38.994926, -75.452394)",""
Indiana,1289875,391312,246736,144576,2017,9,2016,5,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Illinois,2724044,273645,273498,147,2016,12,2014,1,"Illinois
(40.124144, -89.148632)",""
Puerto Rico,1117894,395355,"",395355,2017,7,2015,7,"Puerto Rico
(18.215692, -66.414655)",""
N. Mariana Islands,17000,"","","",2017,9,2016,1,"",""
Kansas,369197,"","","",2017,7,2015,1,"Kansas
(38.484729, -98.38018)",""
South Dakota,108373,"","","",2017,7,2015,11,"South Dakota
(44.43614, -100.230491)",""
Montana,147003,"","","",2016,12,2014,1,"Montana
(47.033521, -109.645127)",""
California,12656781,3673905,3673905,0,2017,9,2016,6,"California
(37.211164, -119.662127)",Awaiting state reporting/enrollment reasonableness review in progress
North Carolina,2132020,"","","",2019,12,2017,10,"North Carolina
(35.52603, -79.130883)",""
New York,6123586,3506563,517082,2889481,2018,8,2017,5,"New York
(42.921241, -75.59655)",""
Tennessee,1601537,"","","",2019,12,2018,4,"Tennessee
(35.842998, -86.343226)",""
Illinois,2827783,717537,610604,106933,2019,12,2018,6,"Illinois
(40.124144, -89.148632)",""
Vermont,190805,50811,0,50811,2016,12,2014,11,"Vermont
(44.075252, -72.662695)",""
Virgin Islands,22810,4145,"",4145,2017,9,2016,8,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Montana,196696,43550,43550,"",2017,9,2016,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
New York,6170793,1941667,304192,1637745,2019,12,2018,1,"New York
(42.921241, -75.59655)",""
Rhode Island,309321,69813,69813,0,2019,12,2018,2,"Rhode Island
(41.572574, -71.534637)",""
Guam,35610,3482,"",3482,2018,8,2016,11,"Guam
(13.3532, 144.653198)",""
Nevada,603485,207966,207966,0,2018,8,2016,12,"Nevada
(39.283294, -114.916992)",""
West Virginia,488375,117257,117257,0,2016,12,2014,4,"West Virginia
(38.642579, -80.613729)",""
Nebraska,243059,"","","",2019,12,2017,12,"Nebraska
(41.527099, -99.810595)",""
Arkansas,909814,307264,296757,10507,2017,9,2016,7,"Arkansas
(34.899825, -92.439162)",""
Maryland,1137919,264581,264581,"",2017,9,2016,6,"Maryland
(38.946466, -76.687282)",""
New York,6310239,2060614,280173,1780441,2017,7,2015,11,"New York
(42.921241, -75.59655)",""
Totals,76703905,15690724,12296275,3394449,2019,12,2017,12,"",""
